BA3.FGPRFH2/Settings#amplitudes,BA3.FGPRFH2/Settings#amplitudes,BA3.FGPRFH2/Settings#amplitudes (30-11-2024 18:43:35),BA3.FGPRFH2/Settings#amplitudes (30-11-2024 18:43:35)
X,Y,X,Y
0.0,-88.0,0.0,0.0
274.0,-88.0,274.0,-90.0
275.0,-88.0,275.6,-90.0
275.6,-87.72571428571428,277.0,-88.0
277.0,-87.08571428571429,280.0,-83.0
280.0,-85.71428571428571,286.0,-76.0
286.0,-82.97142857142858,300.0,-76.0
295.0,-78.85714285714286,350.0,-75.0
300.0,-76.57142857142857,400.0,-73.0
310.0,-72.0,440.0,-70.0
315.0,-72.85714285714286,475.0,-63.0
335.0,-76.28571428571429,525.0,-58.0
345.0,-78.0,575.0,-55.5
350.0,-77.42857142857143,625.0,-59.5
355.0,-76.85714285714286,675.0,-67.5
375.0,-74.57142857142857,725.0,-79.5
380.0,-74.0,750.0,-87.4
395.0,-69.32147692709266,770.0,-90.4
400.0,-67.76196923612355,805.0,-90.4
