BA1.FGVRFH1/Settings#amplitudes,BA1.FGVRFH1/Settings#amplitudes
X,Y
0.0,0.0
260.0,0.0
270.0,3590.392130388532
275.0,3590.392130388532
275.403238695993,3588.5989218030654
275.50404836999,3597.499900163923
275.604858043864,3641.3449692862373
276.000026206459,6075.325817217146
277.000841355685,6667.4735811506
278.000983018751,7132.2966406141
279.001037560247,7515.078622872488
280.001641295819,7828.993451745168
281.002476278206,8082.642857142858
282.003278663699,8277.87583808899
283.003838761851,8426.36211302621
284.004001247781,8482.60576940264
305.012127020311,8171.14581691197
330.013963828779,7855.307019097464
360.015894784297,7536.873261860438
390.016774995787,7275.961242730276
395.017357625371,7237.664724458967
500.029700449137,9000.0
540.034831315285,9000.0
600.0,9000.0
650.0,10800.0
750.0,10800.0
770.0,9000.0
810.0,9000.0
820.0,0.0
