BA3.FGPRFH2/Settings#amplitudes,BA3.FGPRFH2/Settings#amplitudes,BA3.FGPRFH2/Settings#amplitudes (30-11-2024 18:13:08),BA3.FGPRFH2/Settings#amplitudes (30-11-2024 18:13:08)
X,Y,X,Y
0.0,-88.0,0.0,-88.0
274.0,-88.0,274.0,-88.0
275.0,-88.0,275.0,-88.0
275.6,-87.72571428571428,275.6,-87.7942857142857
277.0,-87.08571428571429,277.0,-87.31428571428572
280.0,-85.71428571428571,280.0,-86.28571428571429
286.0,-82.97142857142858,286.0,-84.22857142857143
295.0,-78.85714285714286,295.0,-81.14285714285714
300.0,-76.57142857142857,300.0,-79.42857142857143
310.0,-72.0,310.0,-76.0
315.0,-72.85714285714286,315.0,-75.28571428571429
335.0,-76.28571428571429,335.0,-72.42857142857143
345.0,-78.0,345.0,-71.0
350.0,-77.42857142857143,350.0,-71.71428571428571
355.0,-76.85714285714286,355.0,-72.42857142857143
375.0,-74.57142857142857,375.0,-75.28571428571429
380.0,-74.0,380.0,-76.0
395.0,-69.32147692709266,395.0,-69.7485650623722
400.0,-67.76196923612355,400.0,-67.66475341649625
405.713801092216,-65.97982588652778,405.713801092216,-65.28345636486051
415.0,-65.0,415.0,-80.0
435.0,-69.69865592987752,435.0,-65.90403221036745
440.0,-70.8733199123469,440.0,-62.38004026295931
449.05229120579,-73.0,449.05229120579,-56.0
450.0,-65.0,450.0,-62.0
455.0,-64.42857142857143,455.0,-62.142857142857146
475.0,-62.142857142857146,475.0,-62.714285714285715
485.0,-61.0,485.0,-63.0
495.0,-59.0,495.0,-61.0
515.0,-55.0,515.0,-57.0
520.0,-54.0,520.0,-56.0
525.0,-54.142857142857146,525.0,-56.714285714285715
535.0,-54.42857142857143,535.0,-58.142857142857146
555.0,-55.0,555.0,-61.0
557.808451795676,-55.62295360124078,557.808451795676,-57.549969656433916
557.820896014517,-55.62331306972308,557.820896014517,-57.53468261014432
575.0,-56.11955526185499,575.0,-58.25534593611374
590.0,-56.55285101978676,590.0,-58.88459586082901
595.0,-57.37896524604289,595.0,-57.801297494861466
615.0,-60.683422151067425,615.0,-53.468104030991285
625.0,-62.335650603579694,625.0,-51.3015072990562
635.0,-63.65368696520662,635.0,-56.79614516094193
655.0,-66.28975968846046,655.0,-67.7854208847134
660.0,-66.94877786927393,660.0,-70.53273981565627
675.0,-70.48799590374901,675.0,-68.4386991933957
695.0,-75.20695328304913,695.0,-65.64664503038163
715.0,-84.9434372296007,715.0,-74.43663728023101
725.0,-89.81167920287649,725.0,-78.8316334051557
730.0,-92.24580018951438,730.0,-81.02913146761804
735.0,-90.70740102822225,735.0,-82.3319609632469
750.0,-86.09220354434582,750.0,-86.24044945013344
755.0,-84.55380438305369,755.0,-87.5432789457623
765.0,-81.4770060604694,765.0,-90.14893793702
770.0,-84.84409100265553,770.0,-90.91428140485644
775.0,-88.21117594484167,775.0,-91.67962487269287
795.0,-101.67951571358618,795.0,-94.74099874403863
800.0,-105.04660065577231,800.0,-95.50634221187508
805.0,-105.04660065577231,805.0,-95.50634221187508
